gene_symbol,TAK002_SW480_96H:TRCN0000194972:-666,TAK002_SW480_96H:TRCN0000199993:-666
DDR1,-1.0194000005722046,-0.5555500388145447
PAX8,0.1915000081062317,-0.21285000443458557
GUCA1A,-1.3101000785827637,-0.27425000071525574
EPHB3,-1.3696500062942505,0.6154499650001526
ESRRA,-0.9829000234603882,0.45170003175735474
TRADD,0.4272499978542328,-0.5516499876976013
PRPF8,1.3780999183654785,-0.6974500417709351
CAPNS1,0.4325999915599823,0.035850003361701965
RPL35,0.8974999785423279,0.004800021648406982
RPL28,1.1280499696731567,0.3566000163555145
EIF4G2,-0.40540000796318054,0.08524999767541885
EIF3D,2.2748498916625977,0.5316500067710876
PARK7,0.7690500020980835,-0.29315000772476196
SRP14,0.1465499997138977,-0.9157000184059143
GDI2,0.33009999990463257,0.7731499671936035
RPL11,-1.8636999130249023,-0.7872999906539917
RPL21,2.2785000801086426,0.19120000302791595
RPL24,-0.4592999815940857,0.2891499996185303
SEPT2,-0.0025500021874904633,0.7427500486373901
RPS27A,-0.18684999644756317,0.616100013256073
RPS13,3.322350025177002,0.5840499997138977
FAU,1.4325000047683716,-0.1234000027179718
CFL1,0.7275000214576721,0.6752499938011169
RPL18,0.8982999920845032,0.17344996333122253
EIF3F,-1.4902000427246094,-1.9451000690460205
RPS5,1.299399971961975,-0.17149999737739563
RPL27,-1.016950011253357,-1.5490500926971436
RPL34,0.871749997138977,-0.9962500333786011
NARS,0.5634000301361084,0.04520002007484436
STARD7,1.0216500759124756,0.21845000982284546
RPL19,-0.5074499845504761,-1.0025999546051025
SLC25A3,1.8461999893188477,-0.1359499841928482
RPS11,0.5949000120162964,-0.13269999623298645
RPL9,1.7942999601364136,0.26589998602867126
DDX5,0.28064998984336853,-0.3736499845981598
RPL6,0.5629000067710876,0.008149981498718262
CTDNEP1,0.1340000033378601,0.533050000667572
RPL10A,0.7439000010490417,0.17204999923706055
CBX3,1.2066500186920166,0.3503499925136566
PSMB2,-1.7874000072479248,-0.25235000252723694
KHDRBS1,0.017949998378753662,-0.31884998083114624
RTCB,0.506850004196167,-0.13169999420642853
ERH,1.6825499534606934,-0.5839999914169312
ABCF1,-0.4385000169277191,0.3854999840259552
DAD1,-0.9464999437332153,0.6103499531745911
KAT7,0.009550005197525024,-0.2851499915122986
ZNF146,-0.010749995708465576,-0.10400000214576721
SART1,-0.9604499936103821,-0.7141500115394592
ILF2,-2.1605000495910645,-1.0263500213623047
SPAG7,-0.20064999163150787,0.7545499801635742
ZPR1,0.12304999679327011,0.5115499496459961
TAF10,0.04540000855922699,0.6534499526023865
C1D,-1.6103500127792358,-0.048200011253356934
NONO,0.15080000460147858,0.9300500154495239
SNRNP200,1.2229499816894531,-0.23025000095367432
RHOA,0.7526999711990356,-0.04385000467300415
RNPS1,1.1177499294281006,0.903499960899353
RPS24,-0.5706499814987183,-0.5516999959945679
RPL30,-0.25690001249313354,0.32510000467300415
HSP90AB1,0.14509999752044678,-0.29819998145103455
ARF1,-0.5188000202178955,-1.1542500257492065
IK,-0.6434000134468079,-0.4412499666213989
SNX3,1.0161499977111816,-0.05689999461174011
CNPPD1,2.3039000034332275,0.39675000309944153
SMNDC1,-1.1799499988555908,0.14110001921653748
HNRNPM,0.21980001032352448,0.38749998807907104
RPL14,-0.4231500029563904,-0.08059999346733093
GUK1,0.26750001311302185,0.36039999127388
KXD1,-1.205199956893921,-0.1488499939441681
ATP6V0B,0.36774998903274536,0.36774998903274536
RPS6,-0.6552000045776367,-1.1204999685287476
USP22,1.5452499389648438,-0.12224999815225601
TCEB2,0.8902499675750732,-0.13854999840259552
COX4I1,2.992149829864502,-0.5791499614715576
TMED2,-0.09704998135566711,0.5831000208854675
FNTA,-0.5339000225067139,0.7439500093460083
RPS25,0.007350005209445953,0.30959999561309814
RPL37,-1.342400074005127,-0.3952000141143799
EEF2,3.143249988555908,-0.6536499857902527
HNRNPK,-0.9853500127792358,-1.7272499799728394
ANAPC5,-0.8991999626159668,0.27250000834465027
RPS3A,0.6152999997138977,0.453000009059906
HNRNPU,0.9124999642372131,0.4728499948978424
EIF3A,0.33344998955726624,0.8599500060081482
HSP90B1,0.11134999990463257,0.598099946975708
MSN,-0.6711499691009521,-0.8814499974250793
ACTN4,1.2676500082015991,-0.17980001866817474
APP,-0.9512499570846558,-0.5750499963760376
PRKAR1A,0.7314499616622925,-1.3009999990463257
DSP,-1.1059499979019165,-0.12264999747276306
RAD21,0.2032500058412552,-0.20880001783370972
NCL,-0.3662499785423279,1.0783499479293823
WDR1,-0.16815000772476196,-0.902400016784668
AP2M1,1.0896999835968018,-0.8754000067710876
CLTC,0.5428500175476074,0.14425000548362732
AP2B1,1.0511499643325806,-0.12530000507831573
MLEC,1.2898499965667725,-0.09684999287128448
LASP1,-0.7501500248908997,0.1497499942779541
SF3B2,1.2226500511169434,0.11599999666213989
TMEM59,1.5499000549316406,0.0023500025272369385
CSRP1,-0.5861499905586243,0.1975499987602234
CALM3,-0.768049955368042,-1.082650065422058
MATR3,0.2986999750137329,0.017950013279914856
CAP1,1.3997000455856323,-0.04150000214576721
PTGES3,-3.356949806213379,0.8841500282287598
WARS,-0.5713500380516052,-0.2436000108718872
NDRG1,-0.44005000591278076,0.45695000886917114
PFN1,0.833899974822998,-0.45614999532699585
PTPRF,0.9254000186920166,0.013900011777877808
YWHAZ,0.670199990272522,0.3616999387741089
SOD1,0.07075000554323196,0.834350049495697
MARCKSL1,-0.06769999861717224,1.219099998474121
GLUL,0.022599998861551285,0.4886000156402588
